,index,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error,error_mean,error_std
134,134,6,0.93,0.87,32,64,0,10000,2.0,6,True,,,0.288662630803771,0.17544528134637202,0.11544350673827501
135,135,6,0.93,0.87,32,64,0,10000,2.0,6,False,,,0.28868185285339704,0.298454578247194,0.11706469317916801
136,136,10,0.93,0.87,32,64,0,10000,2.0,10,True,,,0.46563067129768904,0.355039475071717,0.105036399391775
137,137,10,0.93,0.87,32,64,0,10000,2.0,10,False,,,0.562962816014215,0.49239703437934,0.11644367465411301
138,138,20,0.93,0.87,32,64,0,10000,2.0,20,True,,,0.89771406892835,0.776613195966337,0.10671488223726301
139,139,20,0.93,0.87,32,64,0,10000,2.0,20,False,,,0.8896730907390351,0.898871794010841,0.11173001593727001
140,140,50,0.93,0.87,32,64,0,10000,2.0,50,True,,,1.817302332112292,1.7372505600708399,0.10707963694851201
141,141,50,0.93,0.87,32,64,0,10000,2.0,50,False,,,1.899811409839843,1.788563957075426,0.132346097210628
142,142,100,0.93,0.87,32,64,0,10000,2.0,100,True,,,3.212704239250082,3.074532600506113,0.130309334767956
143,143,100,0.93,0.87,32,64,0,10000,2.0,100,False,,,2.722950954921106,2.960696808218705,0.147661231301775
144,144,4,0.93,0.87,32,64,0,50000,1.0,4,True,,,0.012424980094013001,0.015614094534665002,0.04454910527576501
145,145,4,0.93,0.87,32,64,0,50000,1.0,4,False,,,0.063773357533663,0.056230665059369,0.078467673723931
146,146,6,0.93,0.87,32,64,0,50000,1.0,6,True,,,0.016346189662372,0.05245632156726401,0.057912975572700004
147,147,6,0.93,0.87,32,64,0,50000,1.0,6,False,,,0.266323297467744,0.11410702554294501,0.07524453753322001
148,148,10,0.93,0.87,32,64,0,50000,1.0,10,True,,,0.024807822231339,0.11545439911871401,0.07623568700482
149,149,10,0.93,0.87,32,64,0,50000,1.0,10,False,,,0.32388375156270405,0.23020889571236003,0.088590210775094
150,150,20,0.93,0.87,32,64,0,50000,1.0,20,True,,,0.21723449660951402,0.31947282623469203,0.086171761103423
151,151,20,0.93,0.87,32,64,0,50000,1.0,20,False,,,0.7414076335381871,0.601714709568207,0.08374130942445501
152,152,50,0.93,0.87,32,64,0,50000,1.0,50,True,,,1.109568646921832,1.134990510055347,0.09476476615887
153,153,50,0.93,0.87,32,64,0,50000,1.0,50,False,,,1.522036288145073,1.466061097987464,0.108042859983381
154,154,100,0.93,0.87,32,64,0,50000,1.0,100,True,,,2.614732814336311,2.613217660138854,0.11532234576920501
155,155,100,0.93,0.87,32,64,0,50000,1.0,100,False,,,2.664522093301819,2.6830295833743962,0.11882643712278501
156,156,4,0.93,0.87,32,64,0,50000,1.2,4,True,,,0.022067565734475002,0.018280815551485002,0.029071404336519002
157,157,4,0.93,0.87,32,64,0,50000,1.2,4,False,,,0.143478568006381,0.08531179439995301,0.10444818353424301
158,158,6,0.93,0.87,32,64,0,50000,1.2,6,True,,,0.023084607733539,0.062676965094922,0.06410659254105501
159,159,6,0.93,0.87,32,64,0,50000,1.2,6,False,,,0.28972140770332805,0.131457916266356,0.07724612078564601
160,160,10,0.93,0.87,32,64,0,50000,1.2,10,True,,,0.043196313634306004,0.134478101370633,0.078121402868447
161,161,10,0.93,0.87,32,64,0,50000,1.2,10,False,,,0.28072464033674605,0.259503385417651,0.07677571169111501
162,162,20,0.93,0.87,32,64,0,50000,1.2,20,True,,,0.5145218507002141,0.42654277805597,0.085525493341604
163,163,20,0.93,0.87,32,64,0,50000,1.2,20,False,,,0.717128855757668,0.684599821637309,0.092887887208267
164,164,50,0.93,0.87,32,64,0,50000,1.2,50,True,,,1.368872070460941,1.337585365677225,0.097527464384491
165,165,50,0.93,0.87,32,64,0,50000,1.2,50,False,,,1.6839081503300162,1.586178673119325,0.112301862922713
166,166,100,0.93,0.87,32,64,0,50000,1.2,100,True,,,2.974653239772549,2.797030616508675,0.105783161816137
167,167,100,0.93,0.87,32,64,0,50000,1.2,100,False,,,2.767831762141543,2.778074264077752,0.11973019483522301
168,168,4,0.93,0.87,32,64,0,50000,1.5,4,True,,,0.18372745400169901,0.030880708080608003,0.051655725921424006
169,169,4,0.93,0.87,32,64,0,50000,1.5,4,False,,,0.253200814569089,0.117189779944844,0.116583791429578
170,170,6,0.93,0.87,32,64,0,50000,1.5,6,True,,,0.062494725102917,0.08039168398035601,0.068123562795819
171,171,6,0.93,0.87,32,64,0,50000,1.5,6,False,,,0.14393403702816301,0.151312177352562,0.07792463185507201
172,172,10,0.93,0.87,32,64,0,50000,1.5,10,True,,,0.261782158007323,0.182080468347424,0.067722184201292
173,173,10,0.93,0.87,32,64,0,50000,1.5,10,False,,,0.27458767805947104,0.300784601619526,0.073280879347836
174,174,20,0.93,0.87,32,64,0,50000,1.5,20,True,,,0.47607530927123504,0.5565479940879821,0.08485347676261301
175,175,20,0.93,0.87,32,64,0,50000,1.5,20,False,,,0.805133354518708,0.7774237341272131,0.09703301342473801
176,176,50,0.93,0.87,32,64,0,50000,1.5,50,True,,,1.538337098429222,1.563625176330412,0.111618572737746
177,177,50,0.93,0.87,32,64,0,50000,1.5,50,False,,,1.900902615218881,1.6723643789851899,0.11043861677367901
178,178,100,0.93,0.87,32,64,0,50000,1.5,100,True,,,2.995584543605608,2.8923966239266132,0.12034541538295701
179,179,100,0.93,0.87,32,64,0,50000,1.5,100,False,,,3.106154281788879,2.8148307125331273,0.132051956979956
180,180,4,0.93,0.87,32,64,0,50000,2.0,4,True,,,0.11508650978168102,0.063137508837443,0.07920464742868201
181,181,4,0.93,0.87,32,64,0,50000,2.0,4,False,,,0.320217180376965,0.17252817146429902,0.128076410374417
182,182,6,0.93,0.87,32,64,0,50000,2.0,6,True,,,0.43368005513088503,0.124245196609469,0.092422749032321
183,183,6,0.93,0.87,32,64,0,50000,2.0,6,False,,,0.250275474013885,0.20953070802311302,0.090778845932607
184,184,10,0.93,0.87,32,64,0,50000,2.0,10,True,,,0.16930805044758002,0.284252730890039,0.07570603847205701
