,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error
141,50,0.93,0.87,32,64,0,10000,2.0,50,False,,,1.899811409839843
142,100,0.93,0.87,32,64,0,10000,2.0,100,True,,,3.212704239250082
143,100,0.93,0.87,32,64,0,10000,2.0,100,False,,,2.722950954921106
144,4,0.93,0.87,32,64,0,50000,1.0,4,True,,,0.012424980094013001
145,4,0.93,0.87,32,64,0,50000,1.0,4,False,,,0.063773357533663
146,6,0.93,0.87,32,64,0,50000,1.0,6,True,,,0.016346189662372
147,6,0.93,0.87,32,64,0,50000,1.0,6,False,,,0.266323297467744
148,10,0.93,0.87,32,64,0,50000,1.0,10,True,,,0.024807822231339
149,10,0.93,0.87,32,64,0,50000,1.0,10,False,,,0.32388375156270405
150,20,0.93,0.87,32,64,0,50000,1.0,20,True,,,0.21723449660951402
151,20,0.93,0.87,32,64,0,50000,1.0,20,False,,,0.7414076335381871
152,50,0.93,0.87,32,64,0,50000,1.0,50,True,,,1.109568646921832
153,50,0.93,0.87,32,64,0,50000,1.0,50,False,,,1.522036288145073
154,100,0.93,0.87,32,64,0,50000,1.0,100,True,,,2.614732814336311
155,100,0.93,0.87,32,64,0,50000,1.0,100,False,,,2.664522093301819
156,4,0.93,0.87,32,64,0,50000,1.2,4,True,,,0.022067565734475002
157,4,0.93,0.87,32,64,0,50000,1.2,4,False,,,0.143478568006381
158,6,0.93,0.87,32,64,0,50000,1.2,6,True,,,0.023084607733539
159,6,0.93,0.87,32,64,0,50000,1.2,6,False,,,0.28972140770332805
160,10,0.93,0.87,32,64,0,50000,1.2,10,True,,,0.043196313634306004
161,10,0.93,0.87,32,64,0,50000,1.2,10,False,,,0.28072464033674605
162,20,0.93,0.87,32,64,0,50000,1.2,20,True,,,0.5145218507002141
163,20,0.93,0.87,32,64,0,50000,1.2,20,False,,,0.717128855757668
164,50,0.93,0.87,32,64,0,50000,1.2,50,True,,,1.368872070460941
165,50,0.93,0.87,32,64,0,50000,1.2,50,False,,,1.6839081503300162
166,100,0.93,0.87,32,64,0,50000,1.2,100,True,,,2.974653239772549
167,100,0.93,0.87,32,64,0,50000,1.2,100,False,,,2.767831762141543
168,4,0.93,0.87,32,64,0,50000,1.5,4,True,,,0.18372745400169901
169,4,0.93,0.87,32,64,0,50000,1.5,4,False,,,0.253200814569089
170,6,0.93,0.87,32,64,0,50000,1.5,6,True,,,0.062494725102917
171,6,0.93,0.87,32,64,0,50000,1.5,6,False,,,0.14393403702816301
172,10,0.93,0.87,32,64,0,50000,1.5,10,True,,,0.261782158007323
173,10,0.93,0.87,32,64,0,50000,1.5,10,False,,,0.27458767805947104
174,20,0.93,0.87,32,64,0,50000,1.5,20,True,,,0.47607530927123504
175,20,0.93,0.87,32,64,0,50000,1.5,20,False,,,0.805133354518708
176,50,0.93,0.87,32,64,0,50000,1.5,50,True,,,1.538337098429222
177,50,0.93,0.87,32,64,0,50000,1.5,50,False,,,1.900902615218881
178,100,0.93,0.87,32,64,0,50000,1.5,100,True,,,2.995584543605608
179,100,0.93,0.87,32,64,0,50000,1.5,100,False,,,3.106154281788879
180,4,0.93,0.87,32,64,0,50000,2.0,4,True,,,0.11508650978168102
181,4,0.93,0.87,32,64,0,50000,2.0,4,False,,,0.320217180376965
182,6,0.93,0.87,32,64,0,50000,2.0,6,True,,,0.43368005513088503
183,6,0.93,0.87,32,64,0,50000,2.0,6,False,,,0.250275474013885
184,10,0.93,0.87,32,64,0,50000,2.0,10,True,,,0.16930805044758002
185,10,0.93,0.87,32,64,0,50000,2.0,10,False,,,0.324712829279659
186,20,0.93,0.87,32,64,0,50000,2.0,20,True,,,0.740273959544761
187,20,0.93,0.87,32,64,0,50000,2.0,20,False,,,0.824172611874974
188,50,0.93,0.87,32,64,0,50000,2.0,50,True,,,1.7321743786157642
189,50,0.93,0.87,32,64,0,50000,2.0,50,False,,,1.9979421188449722
190,100,0.93,0.87,32,64,0,50000,2.0,100,True,,,3.001701566901976
191,100,0.93,0.87,32,64,0,50000,2.0,100,False,,,2.794164432689815
192,4,0.93,0.87,32,25,1,1000,1.0,4,True,,,0.018135464558878
193,4,0.93,0.87,32,25,1,1000,1.0,4,False,,,0.23232636873257
194,6,0.93,0.87,32,25,1,1000,1.0,6,True,,,0.218807858564132
195,6,0.93,0.87,32,25,1,1000,1.0,6,False,,,0.41756102851228405
196,10,0.93,0.87,32,25,1,1000,1.0,10,True,,,0.155419282881185
197,10,0.93,0.87,32,25,1,1000,1.0,10,False,,,0.5090104799974541
198,20,0.93,0.87,32,25,1,1000,1.0,20,True,,,0.46688765197604803
199,20,0.93,0.87,32,25,1,1000,1.0,20,False,,,0.9465579411429561
200,50,0.93,0.87,32,25,1,1000,1.0,50,True,,,1.502965978101713
201,50,0.93,0.87,32,25,1,1000,1.0,50,False,,,1.567589506386489
202,100,0.93,0.87,32,25,1,1000,1.0,100,True,,,3.307753593201692
203,100,0.93,0.87,32,25,1,1000,1.0,100,False,,,3.192495236583183
204,4,0.93,0.87,32,25,1,1000,1.2,4,True,,,0.088646120245608
205,4,0.93,0.87,32,25,1,1000,1.2,4,False,,,0.5290767194312831
206,6,0.93,0.87,32,25,1,1000,1.2,6,True,,,0.131561586094069
207,6,0.93,0.87,32,25,1,1000,1.2,6,False,,,0.442631778841917
208,10,0.93,0.87,32,25,1,1000,1.2,10,True,,,0.13831567059191402
209,10,0.93,0.87,32,25,1,1000,1.2,10,False,,,0.513305682455776
210,20,0.93,0.87,32,25,1,1000,1.2,20,True,,,0.5863291334477491
211,20,0.93,0.87,32,25,1,1000,1.2,20,False,,,0.9749143135538011
212,50,0.93,0.87,32,25,1,1000,1.2,50,True,,,1.6091462126278762
213,50,0.93,0.87,32,25,1,1000,1.2,50,False,,,1.678405247444102
214,100,0.93,0.87,32,25,1,1000,1.2,100,True,,,3.404592178561589
215,100,0.93,0.87,32,25,1,1000,1.2,100,False,,,3.4479994338406312
216,4,0.93,0.87,32,25,1,1000,1.5,4,True,,,0.18863758569746303
217,4,0.93,0.87,32,25,1,1000,1.5,4,False,,,0.501244002191596
218,6,0.93,0.87,32,25,1,1000,1.5,6,True,,,0.450853602425051
219,6,0.93,0.87,32,25,1,1000,1.5,6,False,,,0.561119590695997
220,10,0.93,0.87,32,25,1,1000,1.5,10,True,,,0.34974178291829605
221,10,0.93,0.87,32,25,1,1000,1.5,10,False,,,0.630940472114994
222,20,0.93,0.87,32,25,1,1000,1.5,20,True,,,0.6895675894052711
223,20,0.93,0.87,32,25,1,1000,1.5,20,False,,,1.161662296945802
224,50,0.93,0.87,32,25,1,1000,1.5,50,True,,,1.675710061807589
225,50,0.93,0.87,32,25,1,1000,1.5,50,False,,,1.731926400735791
226,100,0.93,0.87,32,25,1,1000,1.5,100,True,,,3.615416394607257
227,100,0.93,0.87,32,25,1,1000,1.5,100,False,,,3.839088012023547
228,4,0.93,0.87,32,25,1,1000,2.0,4,True,,,0.16032952987377103
229,4,0.93,0.87,32,25,1,1000,2.0,4,False,,,0.471484914240388
230,6,0.93,0.87,32,25,1,1000,2.0,6,True,,,0.46002024532407004
231,6,0.93,0.87,32,25,1,1000,2.0,6,False,,,0.495872488431625
232,10,0.93,0.87,32,25,1,1000,2.0,10,True,,,0.461003570609527
233,10,0.93,0.87,32,25,1,1000,2.0,10,False,,,0.45914699250095203
234,20,0.93,0.87,32,25,1,1000,2.0,20,True,,,1.074897275797965
235,20,0.93,0.87,32,25,1,1000,2.0,20,False,,,1.453433285753616
236,50,0.93,0.87,32,25,1,1000,2.0,50,True,,,1.950935881782561
237,50,0.93,0.87,32,25,1,1000,2.0,50,False,,,1.964889376348816
238,100,0.93,0.87,32,25,1,1000,2.0,100,True,,,3.882410294451486
239,100,0.93,0.87,32,25,1,1000,2.0,100,False,,,3.577080674769123
240,4,0.93,0.87,32,50,1,2000,1.0,4,True,,,0.066401483780211
241,4,0.93,0.87,32,50,1,2000,1.0,4,False,,,0.273715581021842
242,6,0.93,0.87,32,50,1,2000,1.0,6,True,,,0.085048841602018
243,6,0.93,0.87,32,50,1,2000,1.0,6,False,,,0.49037348636256206
244,10,0.93,0.87,32,50,1,2000,1.0,10,True,,,0.31588610184729904
245,10,0.93,0.87,32,50,1,2000,1.0,10,False,,,0.265423894440526
246,20,0.93,0.87,32,50,1,2000,1.0,20,True,,,0.46598153170140005
247,20,0.93,0.87,32,50,1,2000,1.0,20,False,,,1.6658079367428171
248,50,0.93,0.87,32,50,1,2000,1.0,50,True,,,1.4682160327040141
249,50,0.93,0.87,32,50,1,2000,1.0,50,False,,,1.579968410277206
250,100,0.93,0.87,32,50,1,2000,1.0,100,True,,,3.218888478630126
251,100,0.93,0.87,32,50,1,2000,1.0,100,False,,,3.477185949541886
252,4,0.93,0.87,32,50,1,2000,1.2,4,True,,,0.019564019162931
253,4,0.93,0.87,32,50,1,2000,1.2,4,False,,,0.204093404698823
254,6,0.93,0.87,32,50,1,2000,1.2,6,True,,,0.112542052169824
255,6,0.93,0.87,32,50,1,2000,1.2,6,False,,,0.46763826382514506
256,10,0.93,0.87,32,50,1,2000,1.2,10,True,,,0.24360898775558001
257,10,0.93,0.87,32,50,1,2000,1.2,10,False,,,0.573600123974907
258,20,0.93,0.87,32,50,1,2000,1.2,20,True,,,0.518291204617577
259,20,0.93,0.87,32,50,1,2000,1.2,20,False,,,0.9911973853113001
260,50,0.93,0.87,32,50,1,2000,1.2,50,True,,,1.683767297394434
261,50,0.93,0.87,32,50,1,2000,1.2,50,False,,,1.623527314668437
262,100,0.93,0.87,32,50,1,2000,1.2,100,True,,,3.137319694420617
263,100,0.93,0.87,32,50,1,2000,1.2,100,False,,,3.398512911804339
264,4,0.93,0.87,32,50,1,2000,1.5,4,True,,,0.062005989767259004
265,4,0.93,0.87,32,50,1,2000,1.5,4,False,,,0.38218250372441204
266,6,0.93,0.87,32,50,1,2000,1.5,6,True,,,0.27362066635097604
267,6,0.93,0.87,32,50,1,2000,1.5,6,False,,,0.33144028312698504
268,10,0.93,0.87,32,50,1,2000,1.5,10,True,,,0.34921278433762604
269,10,0.93,0.87,32,50,1,2000,1.5,10,False,,,0.6424190188420611
270,20,0.93,0.87,32,50,1,2000,1.5,20,True,,,0.687634872560945
271,20,0.93,0.87,32,50,1,2000,1.5,20,False,,,1.181450040690991
272,50,0.93,0.87,32,50,1,2000,1.5,50,True,,,1.859157908395841
273,50,0.93,0.87,32,50,1,2000,1.5,50,False,,,1.691450193545772
274,100,0.93,0.87,32,50,1,2000,1.5,100,True,,,3.423738987042556
275,100,0.93,0.87,32,50,1,2000,1.5,100,False,,,3.041969131119979
276,4,0.93,0.87,32,50,1,2000,2.0,4,True,,,0.09349162105643301
277,4,0.93,0.87,32,50,1,2000,2.0,4,False,,,0.24549562338677602
278,6,0.93,0.87,32,50,1,2000,2.0,6,True,,,0.13935351138551802
279,6,0.93,0.87,32,50,1,2000,2.0,6,False,,,0.44497232090929606
280,10,0.93,0.87,32,50,1,2000,2.0,10,True,,,0.48700643707817903
281,10,0.93,0.87,32,50,1,2000,2.0,10,False,,,0.570809075170934
282,20,0.93,0.87,32,50,1,2000,2.0,20,True,,,1.140823578042091
283,20,0.93,0.87,32,50,1,2000,2.0,20,False,,,1.265779981117268
284,50,0.93,0.87,32,50,1,2000,2.0,50,True,,,2.047247492973491
285,50,0.93,0.87,32,50,1,2000,2.0,50,False,,,1.695477694581018
286,100,0.93,0.87,32,50,1,2000,2.0,100,True,,,3.420750415177238
287,100,0.93,0.87,32,50,1,2000,2.0,100,False,,,3.481068855121705
288,4,0.93,0.87,32,64,1,10000,1.0,4,True,,,0.005007175160645001
289,4,0.93,0.87,32,64,1,10000,1.0,4,False,,,0.016808718404359
